text	translation	source	flag
dethroned	废黜；废位赶出；罢免	both	G4-verb-sense-lost
devalue	使贬值；降低…的价值	both	G4-verb-sense-lost
devalued	使贬值；降低…的价值	both	G4-verb-sense-lost
devaluing	使贬值；降低…的价值	both	G4-verb-sense-lost
devil	魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼	both	G4-verb-sense-lost
devolve	转移；移交；使滚下；衰落	both	G4-verb-sense-lost
deworming	[医] 除蠕虫	both	G4-verb-sense-lost
dhl	敦豪速递公司（Dalsey， Lynn是一家国际快递公司）	both	review
dialogue	对话；意见交换	both	G4-verb-sense-lost
dialoguing	(小说中的)对白；对语；对话体	both	G4-verb-sense-lost
dialyzed	[医]透析了的，透析的	both	G4-verb-sense-lost
diamond	钻石，金刚石；菱形；方块牌	both	G4-verb-sense-lost
dickens	n. 魔鬼；究竟；Dickens；n. 狄更斯（英国作家）	both	review
dicker	小生意；十张；十个	both	G4-verb-sense-lost
died	死亡，消逝	both	G4-verb-sense-lost
dieted	& vi. （使）节制饮食	both	G4-verb-sense-lost
diffract	衍射；使…分散；碾碎	both	G4-verb-sense-lost
diffracting	衍射；使…分散；碾碎	both	G4-verb-sense-lost
diflucan	[医]大扶康（含 fluconazole）	both	review
dight	装； 饰； 整顿； 打扫	both	G4-verb-sense-lost
dike	堤防，堤坝；障碍物；（英）壕沟	both	G4-verb-sense-lost
diked	堤防, 堤坝；障碍物；（英）壕沟	both	G4-verb-sense-lost
dimension	方面；[数] 维；尺寸；次元；容积 vt. 标出尺寸	both	G4-verb-sense-lost
diminish	使减少；使变小	both	G4-verb-sense-lost
diminishment	缩减（diminish的变体）	both	G4-verb-sense-lost
dims	（使）变暗淡； （使）变模糊； （使）减弱； 变淡漠	both	G4-verb-sense-lost
dinning	絮聒不休地说；喧闹	both	G4-verb-sense-lost
dip	下沉，下降；倾斜；浸渍，蘸湿	both	G4-verb-sense-lost
direct	直接的；直系的；亲身的；恰好的	both	G4-verb-sense-lost
dirtier	恶劣的； 肮脏的； 卑劣的； 下流的	both	G4-verb-sense-lost
dirtiest	恶劣的； 肮脏的； 卑劣的； 下流的	both	G4-verb-sense-lost
dirty	下流的，卑鄙的；肮脏的；恶劣的；暗淡的	both	G4-verb-sense-lost
disable	使失去能力；使残废；使无资格	both	G4-verb-sense-lost
disabuse	使省悟；解迷惑；释疑；矫正	both	G4-verb-sense-lost
disaggregate	分解；使…崩溃；解开聚集	both	G4-verb-sense-lost
disaggregated	分解；使…崩溃；解开聚集	both	G4-verb-sense-lost
disagree	不同意；不一致；争执；不适宜	both	G4-verb-sense-lost
disallow	驳回，不接受；不准许	both	G4-verb-sense-lost
disambiguate	消除（字句等的）含糊意义，消除…的虚无主义	both	G4-verb-sense-lost
disambiguated	消除（字句等的）含糊意义, 消除…的虚无主义	both	G4-verb-sense-lost
disappear	消失；失踪；不复存在	both	G4-verb-sense-lost
disapprove	不赞成；不喜欢	both	G4-verb-sense-lost
disavow	否认，否定；抵赖；拒绝对…的责任	both	G4-verb-sense-lost
discard	抛弃；被丢弃的东西或人	both	G4-verb-sense-lost
discharges	下（客）； 卸船； 免除（自己的义务、负担等）； 执行	both	G4-verb-sense-lost
discipline	学科；纪律；训练；惩罚	both	G4-verb-sense-lost
disclaim	否认，拒绝；放弃，弃权；拒绝承认	both	G4-verb-sense-lost
discolor	使变色；使褪色	both	G4-verb-sense-lost
discombobulated	使混乱；使泄气；使困惑	both	G4-verb-sense-lost
discomfited	挫败；扰乱，破坏；使…为难；使…破灭	both	G4-verb-sense-lost
discord	不和；不调和；嘈杂声	both	G4-verb-sense-lost
discovering	发现；使被知晓	both	G4-verb-sense-lost
discredit	怀疑；无信用；名声的败坏	both	G4-verb-sense-lost
disease	病，[医] 疾病；弊病	both	G4-verb-sense-lost
disenfranchise	剥夺…的公民权（等于disfranchise）	both	G4-verb-sense-lost
disenfranchised	剥夺…的公民权（等于disfranchise）	both	G4-verb-sense-lost
disenfranchisement	剥夺公民选举权	both	G4-verb-sense-lost
disfigure	使变丑；损毁…的外形；使大为减色	both	G4-verb-sense-lost
disfiguring	使变丑；损毁…的外形；使大为减色	both	G4-verb-sense-lost
disfranchised	剥夺公民权；剥夺推举议员权	both	G4-verb-sense-lost
disgorge	吐出；被迫交出；香槟酒酿制过程中的一道程序，即在插入最后的软木塞前，把沉淀物从酒瓶中取出	both	G4-verb-sense-lost
disgrace	耻辱；丢脸的人或事；失宠	both	G4-verb-sense-lost
disguise	伪装；假装；用作伪装的东西	both	G4-verb-sense-lost
dish	盘；餐具；一盘食物；外貌有吸引力的人	both	G4-verb-sense-lost
dishearten	使灰心，使沮丧，使气馁	both	G4-verb-sense-lost
dishonors	使丢脸；不尊重；不履行；【商】拒付	both	G4-verb-sense-lost
disintegrated	使分解；使碎裂；使崩溃；使衰变	both	G4-verb-sense-lost
disinter	掘出；发掘；显露	both	G4-verb-sense-lost
disjoint	互斥；没有共同元素；不相交的	both	G4-verb-sense-lost
dislike	嫌恶，反感，不喜爱	both	G4-verb-sense-lost
dislodge	逐出，驱逐；使……移动；用力移动	both	G4-verb-sense-lost
dismantle	拆除；取消；解散；除掉…的覆盖物	both	G4-verb-sense-lost
dismember	肢解，割断手足；分割，瓜分	both	G4-verb-sense-lost
dispel	驱散，驱逐；消除（烦恼等）	both	G4-verb-sense-lost
disperse	分散；使散开；传播	both	G4-verb-sense-lost
dispiriting	令人沮丧的；使人气馁的	both	G4-verb-sense-lost
disposes	处理，处置； 布置； 使愿意或准备做	both	G4-verb-sense-lost
dispossess	剥夺；使失去；逐出；霸占	both	G4-verb-sense-lost
disrobe	使脱光；脱去...的衣服；剥夺	both	G4-verb-sense-lost
disrupt	破坏；使瓦解；使分裂；使中断；使陷于混乱	both	G4-verb-sense-lost
disrupter	破坏者；分裂者	both	G4-verb-sense-lost
disruptor	破坏者，分裂者	both	G4-verb-sense-lost
dissemble	掩饰，掩盖；假装	both	G4-verb-sense-lost
dissembling	掩饰，掩盖；假装	both	G4-verb-sense-lost
dissent	异议；（大写）不信奉国教	both	G4-verb-sense-lost
dissenting	不同意的（等于dissentient）	both	review
dissuade	劝阻，劝止	both	G4-verb-sense-lost
distinguishes	区分；辨别；使杰出，使表现突出	both	G4-verb-sense-lost
distress	危难，不幸；贫困；悲痛	both	G4-verb-sense-lost
distressingly	令人苦恼地；悲惨地	both	G4-verb-sense-lost
distribute	分配；散布；分开；把…分类	both	G4-verb-sense-lost
disturb	打扰；妨碍；使不安；弄乱；使恼怒	both	G4-verb-sense-lost
dither	发抖；递色；[电子] 高频脉动	both	G4-verb-sense-lost
dive	潜水；跳水；俯冲；扑	both	G4-verb-sense-lost
diverged	分歧；偏离；分叉；离题	both	G4-verb-sense-lost
diversify	使多样化，使变化；增加产品种类以扩大	both	G4-verb-sense-lost
divert	转移；使…欢娱；使…转向	both	G4-verb-sense-lost
divides	划分；除；分开；使产生分歧	both	G4-verb-sense-lost
divined	猜测，预测； （用丫形杖）探测（地下水）	both	G4-verb-sense-lost
divorcing	使离婚，使分离；与…离婚	both	G4-verb-sense-lost
dizzy	晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的	both	G4-verb-sense-lost
dmoz	开放目录项目（来自于Directory.Mozilla.org的简写，一个由世界各地志愿者共同维护与建设的全球目录社区）	both	review
dock	码头；船坞；被告席；尾巴的骨肉部分	both	G4-verb-sense-lost
doctor	修理；篡改，伪造；为…治病；授以博士学位	both	G4-verb-sense-lost
doctors	[医] 医生	both	G4-verb-sense-lost
document	文件，公文；[计] 文档；证件	both	G4-verb-sense-lost
dod	人名；(英)多德(男子教名George的昵称)；(南非)多德	both	review
doff	脱（衣，帽等）；丢弃，废除；落纱	both	G4-verb-sense-lost
dog	狗；丑女人；卑鄙的人；(俚)朋友	both	G4-verb-sense-lost
doing	n. 做；(复)doings: 所作之事，行为，活动	both	review
dollies	盐酸美沙酮药片	both	G4-verb-sense-lost
dolly	洋娃娃；手推车；移动式摄影车；洗衣搅棒	both	G4-verb-sense-lost
dominate	控制；支配；占优势；在…中占主要地位	both	G4-verb-sense-lost
domination	n. 支配；控制；管辖；dominations:[宗]主天使.	both	review
doodle	v. 乱写；乱画；信手涂鸦；n. 乱写；乱画；Doodle；n. 谷歌涂鸦（搜索引擎谷歌Google于节日和其他纪念日在主页上展示的定制版谷歌图标）	both	review
doom	厄运；死亡；判决；世界末日	both	G4-verb-sense-lost
doses	[药][核] 剂量	both	G4-verb-sense-lost
dow	美国陶氏；美国陶氏化学；道琼斯平均指数	both	G4-verb-sense-lost
dowel	[木] 木钉；暗榫；合板钉	both	G4-verb-sense-lost
downing	放下； （尤指大口或快速地）喝下； 使摔倒； 击落（敌机等）	both	G4-verb-sense-lost
downsize	以较小尺寸设计；缩小尺寸；裁减人数	both	G4-verb-sense-lost
downsized	以较小尺寸设计；缩小尺寸；裁减人数	both	G4-verb-sense-lost
dowse	人名；(英)道丝(女子教名)；(英)道斯，道丝(女名)	both	G4-verb-sense-lost
draft	汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流	both	G4-verb-sense-lost
drafted	设计；挑选；拉开	both	G4-verb-sense-lost
drain	排水；下水道，排水管；消耗	both	G4-verb-sense-lost
drained	（使）流干， （使）逐渐流走；喝光，喝干；使（精力、金钱等）耗尽	both	G4-verb-sense-lost
drains	排水沟；吸血	both	G4-verb-sense-lost
dramatic	adj. 戏剧性的；引人注目的；给人深刻印象的；激动人心的；dramatics: n.；戏剧作品；戏剧艺术；戏剧性的行为	both	review
draper	n. 布商；带式输送器；布面清选机；Draper.；n. 德雷珀(姓氏、男子名或地名)	both	review
drayton	德雷顿(①姓氏 ②Michael, 1563-1631, 英国诗人)	both	review
dreads	恐惧，畏惧； 令人恐惧的事物	both	G4-verb-sense-lost
dresses	[服装] 连衣裙；女装	both	G4-verb-sense-lost
drifted	使漂流；使吹积	both	G4-verb-sense-lost
drill	训练；钻孔机；钻子；播种机	both	G4-verb-sense-lost
drink	酒，饮料；喝酒	both	G4-verb-sense-lost
drip	水滴，滴水声；静脉滴注；使人厌烦的人	both	G4-verb-sense-lost
dripped	（使）滴下； 滴出； 含有； 充满	both	G4-verb-sense-lost
drive	驱动器；驾车；[心理] 内驱力，推进力；快车道	both	G4-verb-sense-lost
drivel	鼻涕；口水；糊涂话	both	G4-verb-sense-lost
droned	发出嗡嗡声； （以低沉、单调的声调）谈； 说； 唱	both	G4-verb-sense-lost
drones	雄蜂； 嗡嗡声； 持续的低音或和音； 不务正业而依赖他人为生者	both	G4-verb-sense-lost
drool	口水；梦话，胡说	both	G4-verb-sense-lost
dropping	n. 点滴；滴下；落下物；(复)droppings: 动物的粪.	both	review
drowned	血本无归者；被套牢者	both	G4-verb-sense-lost
drub	用棒打；硬灌；打击	both	G4-verb-sense-lost
drubs	用棒打；硬灌；打击	both	G4-verb-sense-lost
drys	(井,河等)干涸的；(气候)干旱的；无奶的；无泪的	both	G4-verb-sense-lost
dsgn	设计； 标示； 标示； 设计者	both	G4-verb-sense-lost
duck	鸭子；鸭肉；（英）宝贝儿；零分	both	G4-verb-sense-lost
ducked	鸭子；鸭肉；（英）宝贝儿；零分	both	G4-verb-sense-lost
ducks	鸭子；薄帆布工作服，帆布裤子	both	G4-verb-sense-lost
duff	水果布丁；揉好的面团；笨拙的人	both	G4-verb-sense-lost
dull	钝的；迟钝的；无趣的；呆滞的；阴暗的	both	G4-verb-sense-lost
dulled	钝的；迟钝的；无趣的；呆滞的；阴暗的	both	G4-verb-sense-lost
duller	迟钝的； 不鲜明的； 不活跃的； 不热心的	both	G4-verb-sense-lost
dulles	杜勒斯(①姓氏 ② Foster, 1888-1959, 曾于1953-1959任美国国务卿)	both	review
dullest	迟钝的； 不鲜明的； 不活跃的； 不热心的	both	G4-verb-sense-lost
dumb	哑的，无说话能力的；不说话的，无声音的	both	G4-verb-sense-lost
dunning	催债；不断烦扰；（使）成灰兔褐色	both	G4-verb-sense-lost
duns	资料综合编码制度	both	G4-verb-sense-lost
dykes	斜线切割机	both	G4-verb-sense-lost
dynamical	动力学的（等于dynamic）；有生气的；有力的	both	review
ear	耳朵；穗；听觉；倾听	both	G4-verb-sense-lost
earn	赚，赚得；获得，挣得；使得到；博得	both	G4-verb-sense-lost
eases	安心； 无病无痛； （限制的）放松； 容易	both	G4-verb-sense-lost
eastman	伊斯门(①姓氏 ②George, 1854-1932, 美国摄影技术领域的发明家)	both	review
eat	吃，喝；腐蚀；烦扰	both	G4-verb-sense-lost
eavesdrop	屋檐上流下来的水	both	G4-verb-sense-lost
echelon	梯形；梯次编队；梯阵；阶层	both	G4-verb-sense-lost
economize	节约，节省；有效地利用	both	G4-verb-sense-lost
ed	Edmund，Edward，Edwin等的昵称	both	review
edema	[病理] 水肿（等于oedema）；瘤腺体	both	review
edges	[地质] 边缘；边界；优势	both	G4-verb-sense-lost
edify	熏陶；启发；教诲	both	G4-verb-sense-lost
editorialize	（就某事）发表社论；插入主观评论	both	G4-verb-sense-lost
edmond	埃德蒙（亦作Edmund）	both	review
effectuate	完成；实行；招致	both	G4-verb-sense-lost
effexor	[医]郁复伸，（文拉法辛制剂）（含venlafaxine）	both	review
elaborates	详尽说明	both	G4-verb-sense-lost
elbowed	[医]角的，屈的，肘形的	both	G4-verb-sense-lost
elbows	肘；弯头；急弯；（沙发、椅子等的）扶手	both	G4-verb-sense-lost
electing	（进行）选举； 推举； 选择； 决定（做某事）	both	G4-verb-sense-lost
electrify	使电气化；使充电；使触电；使激动	both	G4-verb-sense-lost
electroplate	电镀物品	both	G4-verb-sense-lost
elects	（进行）选举； 推举； 选择； 决定（做某事）	both	G4-verb-sense-lost
elevate	提升；举起；振奋情绪等；提升…的职位	both	G4-verb-sense-lost
elias	伊莱亚斯（希伯来先知, 等于Elijah）	both	review
eliot	n. 埃利奥特；艾略特(姓氏；Elias的异体；亦作Elliott	both	review
elisabeth	伊丽莎白（女子名，等于Elizabeth）	both	review
eluted	[医]被洗脱的，被洗提的	both	G4-verb-sense-lost
emanate	发出；散发；发源	both	G4-verb-sense-lost
emanuel	伊曼纽尔（亦作Emmanuel,Immanuel）	both	review
embalm	铭记于心；使不朽；防腐；使充满香气	both	G4-verb-sense-lost
embed	栽种；使嵌入，使插入；使深留脑中	both	G4-verb-sense-lost
embezzle	盗用；挪用；贪污	both	G4-verb-sense-lost
embolden	使有胆量，使大胆	both	G4-verb-sense-lost
emboldened	使有胆量，使大胆	both	G4-verb-sense-lost
embraceable	能被拥抱的；能被理解或接受的	both	G4-verb-sense-lost
embraces	拥抱；信奉，皈依；包含	both	G4-verb-sense-lost
emigrate	移居；移居外国	both	G4-verb-sense-lost
emigrated	移居；移居外国	both	G4-verb-sense-lost
emmanuel	以马内利（耶稣基督的别称）；伊曼纽尔（男子名，等于Immanuel）	both	review
emoticons	情感符（等于Smiley）	both	review
employs	使用，采用；雇用；使忙于，使从事于	both	G4-verb-sense-lost
empower	授权，允许；使能够	both	G4-verb-sense-lost
emulsified	[医]乳化的	both	G4-verb-sense-lost
enable	使能够，使成为可能；授予权利或方法	both	G4-verb-sense-lost
enabler	使能器，使能者；促成者，赋能者	both	G4-verb-sense-lost
enables	使能够，使成为可能；授予权利或方法	both	G4-verb-sense-lost
enact	颁布；制定法律；扮演；发生	both	G4-verb-sense-lost
encapsulate	压缩；将…装入胶囊；将…封进内部；概述	both	G4-verb-sense-lost
encase	包住；围绕；包装	both	G4-verb-sense-lost
encircle	包围；围绕；环绕	both	G4-verb-sense-lost
encode	（将文字材料）译成密码；编码，编制成计算机语言	both	G4-verb-sense-lost
encore	再演唱的要求；经要求而再唱	both	G4-verb-sense-lost
encourage	鼓励，怂恿；激励；支持	both	G4-verb-sense-lost
encumber	阻塞；妨害；拖累	both	G4-verb-sense-lost
endanger	危及；使遭到危险	both	G4-verb-sense-lost
endear	使…受钟爱；使…亲密	both	G4-verb-sense-lost
endeavor	努力；尽力（等于endeavour）	both	review
endeavored	努力；尽力（等于endeavour）	both	G4-verb-sense-lost
enfeebled	衰弱的；无力的	both	G4-verb-sense-lost
enfold	拥抱；包裹；折叠；围绕	both	G4-verb-sense-lost
enforce	实施，执行；强迫，强制	both	G4-verb-sense-lost
enforceability	可执行性；强制性	both	G4-verb-sense-lost
enfranchise	给予选举权；给予自治权；解放，释放	both	G4-verb-sense-lost
enfranchised	给予选举权；给予自治权；解放，释放	both	G4-verb-sense-lost
engage	从事；答应，保证；交战；啮合	both	G4-verb-sense-lost
engine	引擎，发动机；机车，火车头；工具	both	G4-verb-sense-lost
engined	装有若干数量或某种类型发动机的	both	G4-verb-sense-lost
engineer	工程师；工兵；火车司机	both	G4-verb-sense-lost
engraved	被牢记的；被深深印入的	both	G4-verb-sense-lost
engulf	吞没；吞食，狼吞虎咽	both	G4-verb-sense-lost
engulfed	吞没；吞食，狼吞虎咽	both	G4-verb-sense-lost
engulfment	[医]吞食，病毒固定	both	G4-verb-sense-lost
enhancing	优化，增强；暖色加重效果	both	G4-verb-sense-lost
enjoin	命令；吩咐；嘱咐；禁止	both	G4-verb-sense-lost
enjoy	欣赏，享受；喜爱；使过得快活	both	G4-verb-sense-lost
enlighten	启发，启蒙；教导，开导；照耀	both	G4-verb-sense-lost
enlist	使入伍；征募；谋取…的赞助或帮助	both	G4-verb-sense-lost
enliven	使活泼；使生动；使有生气，使活跃	both	G4-verb-sense-lost
enroll	参加；登记；注册；记入名册	both	G4-verb-sense-lost
enshrine	铭记，珍藏；把…置于神龛内；把…奉为神圣	both	G4-verb-sense-lost
enshrinement	置于神龛中；珍藏；铭记	both	G4-verb-sense-lost
enslave	束缚；征服；使某人成为奴隶	both	G4-verb-sense-lost
ensnare	诱捕；诱入陷阱；进入罗网	both	G4-verb-sense-lost
entertain	娱乐；招待；怀抱；容纳	both	G4-verb-sense-lost
enticer	诱惑者, 引诱者, 勾引者；诱惑物	both	G4-verb-sense-lost
enticingly	诱人地；迷人地	both	G4-verb-sense-lost
entitle	称做…；定名为…；给…称号；使…有权利	both	G4-verb-sense-lost
entrap	使陷入；使陷罗网；欺骗	both	G4-verb-sense-lost
entwine	缠住；盘绕；使缠绕	both	G4-verb-sense-lost
entwined	缠住；盘绕；使缠绕	both	G4-verb-sense-lost
environ	环绕；包围；（敌意地或保护性的）围住	both	G4-verb-sense-lost
envisage	正视，面对；想像	both	G4-verb-sense-lost
episcopal	主教的（副词episcopally）；主教管辖的；主教制度的；英国国教的	both	review
equal	对手；匹敌；同辈；相等的事物	both	G4-verb-sense-lost
equaled	比得上； （质量等方面）赶得上； 与…相等或相同； 使（某物）等于	both	G4-verb-sense-lost
equaling	比得上； （质量等方面）赶得上； 与…相等或相同； 使（某物）等于	both	G4-verb-sense-lost
equalize	补偿；使相等	both	G4-verb-sense-lost
equalled	比得上； （质量等方面）赶得上； 与…相等或相同； 使（某物）等于	both	G4-verb-sense-lost
equals	对手；（地位、实力等）相同或相等的人；相等物	both	G4-verb-sense-lost
equipped	装备；预备；整装	both	G4-verb-sense-lost
equipping	装备；配备；使穿戴	both	G4-verb-sense-lost
equips	装备； 配备； 使有能力； 使胜任	both	G4-verb-sense-lost
equipt	设备, 装置, 器械	both	G4-verb-sense-lost
equivocate	说模棱两可的话；支吾， 躲闪；推诿；含糊其词	both	G4-verb-sense-lost
erecting	建筑；竖立；使…直立	both	G4-verb-sense-lost
erects	使直立，竖起； 建立	both	G4-verb-sense-lost
err	犯错；做错；犯罪；走上歧途	both	G4-verb-sense-lost
erupt	爆发；喷出；发疹；长牙	both	G4-verb-sense-lost
erupting	爆发；喷出；发疹；长牙	both	G4-verb-sense-lost
erwin	欧文(Irving的异体)	both	review
escape	逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏	both	G4-verb-sense-lost
escheat	重还，归还，承受转归领主的土地	both	G4-verb-sense-lost
escort	陪同；护航舰；护卫队；护送者	both	G4-verb-sense-lost
escrowed	【法】(暂由第三者保存、待某种条件完成后即交付受让人或权利人的)契据[契约、合同、证书等]	both	G4-verb-sense-lost
escrows	【法】(暂由第三者保存、待某种条件完成后即交付受让人或权利人的)契据[契约、合同、证书等]	both	G4-verb-sense-lost
espouse	支持；嫁娶；赞成；信奉	both	G4-verb-sense-lost
essay	散文；试图；随笔	both	G4-verb-sense-lost
essayer	散文；试图；随笔	both	G4-verb-sense-lost
essays	随笔；短文；试图	both	G4-verb-sense-lost
estimate	估计，估价；判断，看法	both	G4-verb-sense-lost
estrange	使疏远；离间	both	G4-verb-sense-lost
eudora	一种电子邮件软件，由Qualcomm公司出品	both	review
eureka	int. 找到了! 有了！；Eureka.；n. 尤里卡（加利福尼亚西北部一城市）	both	review
euthanize	使安乐死；对…施无痛致死术（等于euthanatize）	both	G4-verb-sense-lost
euthanized	使（人或动物）安乐死	both	G4-verb-sense-lost
euthanizing	使（人或动物）安乐死	both	G4-verb-sense-lost
evaluate	评价；估价；求…的值	both	G4-verb-sense-lost
evaluates	评价；估价；求…的值	both	G4-verb-sense-lost
evangelize	传福音；使信基督教	both	G4-verb-sense-lost
evangelizing	传福音；使信基督教	both	G4-verb-sense-lost
evened	使平坦	both	G4-verb-sense-lost
eventuate	结果为；发生，终于发生	both	G4-verb-sense-lost
everett	n. 埃弗雷特(Everard的异体)(	both	review
evergreen	adj. 常绿的；n. 常绿树；常绿植物；(复)evergreens: 常绿树枝条.	both	review
everlasting	adj. 永恒的；持久的；无止境的；n. 永恒；永久盛开的花；[大写]Everlasting: 上帝.	both	review
evidence	证据，证明；迹象；明显	both	G4-verb-sense-lost
evince	表明，表示；引起	both	G4-verb-sense-lost
evoke	引起，唤起；博得	both	G4-verb-sense-lost
exacerbate	使加剧；使恶化；激怒	both	G4-verb-sense-lost
exalt	提升；提拔；赞扬；使得意	both	G4-verb-sense-lost
examine	检查；调查； 检测；考试	both	G4-verb-sense-lost
excepted	除外；反对	both	G4-verb-sense-lost
excepts	略去； 不计； 把…作为例外； 把…除外	both	G4-verb-sense-lost
exchange	交换；交流；交易所；兑换	both	G4-verb-sense-lost
excise	消费税；货物税	both	G4-verb-sense-lost
excl	除外的（等于exclusive）；除外（等于excluded）；不包括（等于excluding）	both	review
exclude	排除；排斥；拒绝接纳；逐出	both	G4-verb-sense-lost
excoriate	严厉的责难；擦破...的皮肤	both	G4-verb-sense-lost
exercise	运动；练习；运用；操练；礼拜；典礼	both	G4-verb-sense-lost
exert	运用，发挥；施以影响	both	G4-verb-sense-lost
exerting	运用，发挥；施以影响	both	G4-verb-sense-lost
exfoliate	使片状脱落；使呈鳞片状脱落	both	G4-verb-sense-lost
exhale	呼气；发出；发散；使蒸发	both	G4-verb-sense-lost
exhaled	呼气；发出；发散；使蒸发	both	G4-verb-sense-lost
exhibit	展览品；证据；展示会	both	G4-verb-sense-lost
exile	流放，充军；放逐，被放逐者；流犯	both	G4-verb-sense-lost
exist	存在；生存；生活；继续存在	both	G4-verb-sense-lost
expand	扩张；使膨胀；详述	both	G4-verb-sense-lost
expects	期望；指望；认为；预料	both	G4-verb-sense-lost
expend	花费；消耗；用光；耗尽	both	G4-verb-sense-lost
experience	经验；经历；体验	both	G4-verb-sense-lost
experiencer	经验者；感受者	both	G4-verb-sense-lost
experiment	实验，试验；尝试	both	G4-verb-sense-lost
expire	期满；终止；死亡；呼气	both	G4-verb-sense-lost
expires	到期；有效期	both	G4-verb-sense-lost
explant	[生物] 外植体；（组织培养）分离块	both	G4-verb-sense-lost
explode	爆炸，爆发；激增	both	G4-verb-sense-lost
exploding	爆炸，爆发；水热炸裂	both	G4-verb-sense-lost
exported	[贸易] 出口；输出	both	G4-verb-sense-lost
expressed	表达；（用符号等）表示；榨；（如在说话、写作或绘画中）表达（自己）的意见	both	G4-verb-sense-lost
extend	延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价	both	G4-verb-sense-lost
extenuate	减轻；低估；为…找借口；使人原谅	both	G4-verb-sense-lost
externalize	给…以外形；使具体化，使客观化	both	G4-verb-sense-lost
externalized	给…以外形；使具体化，使客观化	both	G4-verb-sense-lost
extinguish	熄灭；压制；偿清	both	G4-verb-sense-lost
extirpate	使连根拔起；灭绝，破除	both	G4-verb-sense-lost
extol	颂扬；赞美；赞颂	both	G4-verb-sense-lost
extort	敲诈；侵占；强求；牵强地引出	both	G4-verb-sense-lost
extracts	提取物，[化学] 萃取物；摘要	both	G4-verb-sense-lost
extricate	使解脱；解救；使游离	both	G4-verb-sense-lost
exude	散发；流出；使渗出	both	G4-verb-sense-lost
exult	狂喜，欢欣鼓舞；非常高兴	both	G4-verb-sense-lost
eye	眼睛；视力；眼光；见解，观点	both	G4-verb-sense-lost
eyeglasses	眼镜（等于glasses）	both	review
eying	定睛地看	both	G4-verb-sense-lost
fabricating	制作；捏造；装配；二次加工	both	G4-verb-sense-lost
face	脸；表面；面子；面容；外观；威信	both	G4-verb-sense-lost
facelift	整容手术（除去面部皱纹）	both	G4-verb-sense-lost
facing	n. [建]饰面，覆盖面，面层；衬里；(复)facings:衣领；袖口.	both	review
factor	因素；要素；[物] 因数；代理人	both	G4-verb-sense-lost
factorize	因式分解；把复杂计算分解为基本运算	both	G4-verb-sense-lost
fade	[电影][电视] 淡出；[电影][电视] 淡入	both	G4-verb-sense-lost
fades	褪色；逝去；[生物] 衰老；淡接	both	G4-verb-sense-lost
faggots	柴把；同性恋	both	G4-verb-sense-lost
fagot	柴把；束薪；成束熟铁块	both	G4-verb-sense-lost
fags	苦工； 香烟（英式非正式英语）； （尤指旧时）公学中受高年级学生使唤的低年级男生。（英式英语）； （蔑称） 男同性恋者（美式俚语）	both	G4-verb-sense-lost
faintest	一点也不的（用于否定句，加强语气）；极小的	both	G4-verb-sense-lost
fake	假货；骗子；假动作	both	G4-verb-sense-lost
fall	下降；秋天；瀑布	both	G4-verb-sense-lost
fantasized	幻想；想像	both	G4-verb-sense-lost
fantasy	幻想；白日梦；幻觉	both	G4-verb-sense-lost
farces	笑剧； 闹剧； 笑剧剧目； 作假的可笑场面	both	G4-verb-sense-lost
farmed	种田，务农；经营农场	both	G4-verb-sense-lost
fashion	时尚；时装；样式；时髦人物	both	G4-verb-sense-lost
fasten	使固定；集中于；扎牢；强加于	both	G4-verb-sense-lost
father	父亲，爸爸；神父；祖先；前辈	both	G4-verb-sense-lost
fathering	父亲，爸爸；神父；祖先；前辈	both	G4-verb-sense-lost
fatten	养肥；使肥沃；使充实	both	G4-verb-sense-lost
fattened	养肥；使肥沃；使充实	both	G4-verb-sense-lost
fault	故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误	both	G4-verb-sense-lost
faults	故障；[地质] 断层；错误	both	G4-verb-sense-lost
feast	筵席，宴会；节日	both	G4-verb-sense-lost
feasted	享受；款待, 宴请	both	G4-verb-sense-lost
feasting	享乐，请客；参加宴会	both	G4-verb-sense-lost
feasts	盛会； 宴会； 宗教节日； 使人欢快的事物（或活动）	both	G4-verb-sense-lost
feature	特色，特征；容貌；特写或专题节目	both	G4-verb-sense-lost
featuring	特色，特征；容貌；特写或专题节目	both	G4-verb-sense-lost
federate	同盟的；联邦制度下的；联合的	both	G4-verb-sense-lost
federated	联邦的；联合的；结成同盟的	both	G4-verb-sense-lost
feed	饲料；饲养；（动物或婴儿的）一餐	both	G4-verb-sense-lost
feeling	n. 感觉；知觉；气氛；鉴赏力；反感；adj. 有感情的；富于同情心的；含情脉脉的；（复）feelings：感情.	both	review
feels	感觉；天性；鉴别力	both	G4-verb-sense-lost
fellation	[医]口淫	both	G4-verb-sense-lost
felted	黏结起来的；毡制的；用毡覆盖的	both	G4-verb-sense-lost
fences	栅栏；围墙；剑术	both	G4-verb-sense-lost
ferment	使发酵；酝酿；使动乱	both	G4-verb-sense-lost
fermented	酿造；已发酵的	both	G4-verb-sense-lost
